,RPM,Speed,attack
1455,131070,0,1
1456,0,826,0
1457,131070,0,1
1458,370,0,0
1459,131070,0,1
1460,131070,0,1
1461,131070,0,1
1462,0,826,0
1463,370,0,0
1464,131070,0,1
1465,131070,0,1
1466,131070,0,1
1467,368,0,0
1468,131070,0,1
1469,0,826,0
1470,131070,0,1
1471,131070,0,1
1472,368,0,0
1473,131070,0,1
1474,131070,0,1
1475,0,832,0
1476,131070,0,1
1477,367,0,0
1478,131070,0,1
1479,131070,0,1
1480,0,832,0
1481,131070,0,1
1482,367,0,0
1483,131070,0,1
1484,131070,0,1
1485,131070,0,1
1486,368,0,0
1487,131070,0,1
1488,0,832,0
1489,131070,0,1
1490,131070,0,1
1491,368,0,0
1492,131070,0,1
1493,0,832,0
1494,131070,0,1
1495,131070,0,1
1496,368,0,0
1497,131070,0,1
1498,131070,0,1
1499,0,832,0
1500,131070,0,1
1501,370,0,0
1502,131070,0,1
1503,131070,0,1
1504,131070,0,1
1505,370,0,0
1506,131070,0,1
1507,0,832,0
1508,131070,0,1
1509,131070,0,1
1510,371,0,0
1511,131070,0,1
1512,131070,0,1
1513,0,832,0
1514,131070,0,1
1515,371,0,0
1516,131070,0,1
1517,131070,0,1
1518,131070,0,1
1519,0,832,0
1520,369,0,0
1521,131070,0,1
1522,131070,0,1
1523,131070,0,1
1524,369,0,0
1525,131070,0,1
1526,0,832,0
1527,131070,0,1
1528,131070,0,1
1529,368,0,0
1530,131070,0,1
1531,0,832,0
1532,131070,0,1
1533,131070,0,1
1534,368,0,0
1535,131070,0,1
1536,131070,0,1
1537,131070,0,1
1538,0,832,0
1539,370,0,0
1540,131070,0,1
1541,131070,0,1
1542,131070,0,1
1543,371,0,0
1544,131070,0,1
1545,0,832,0
1546,131070,0,1
1547,131070,0,1
1548,371,0,0
1549,131070,0,1
1550,0,838,0
1551,131070,0,1
1552,131070,0,1
1553,372,0,0
1554,131070,0,1
1555,131070,0,1
1556,131070,0,1
1557,0,838,0
1558,372,0,0
1559,131070,0,1
1560,131070,0,1
1561,131070,0,1
1562,372,0,0
1563,131070,0,1
1564,0,838,0
1565,131070,0,1
1566,131070,0,1
1567,372,0,0
1568,131070,0,1
1569,131070,0,1
1570,0,838,0
1571,131070,0,1
1572,370,0,0
1573,131070,0,1
1574,131070,0,1
1575,131070,0,1
